"temporada","time","acronym","despesas","valor_reforcos","balanco_transferencias"
"2019","SaoPaulo","SAO","17.38","14.13","12.62"
"2019","Atletico-MG","CAM","11.75","23.60","8.95"
"2019","Athletico-PR","CAP","1.30","27.28","21.30"
"2019","Cruzeiro","CRU","6.25","4.75","22.59"
"2019","Botafogo","BOT","0","13.18","7.84"
"2019","Santos","SAN","14.44","23.58","-6.25"
"2019","Bahia","ECB","1.70","31.75","4.46"
"2019","Fluminense","FLU","0.45","58.10","16.57"
"2019","Corinthians","COR","10.30","24.15","7.21"
"2019","Chapecoense","CHA","0.70","12.10","4.35"
"2019","Ceara","CEA","3.02","6.78","1.81"
"2019","Vasco","VAS","0","8.95","19.20"
"2019","Fortaleza","FOR","0","8.08","0"
"2019","CSA","CSA","0","6.30","0"
"2019","Avai","AVA","0.11","3.63","1.69"
"2019","Goias","GOI","0.12","8.18","4.89"
"2020","Flamengo","FLA","49.80","76.10","16.35"
"2020","Santos","SAN","6.25","3.55","47.40"
"2020","Palmeiras","PAL","21.25","21.80","14.81"
"2020","Gremio","GRE","3.98","28.25","6.87"
"2020","Athletico-PR","CAP","5.30","27.95","51.67"
"2020","SaoPaulo","SAO","8.65","7.90","1.15"
"2020","Internacional","INT","1.71","15.40","19.82"
"2020","Corinthians","COR","16.50","39.45","-11.48"
"2020","Fortaleza","FOR","1.00","7.25","-1.00"
"2020","Goias","GOI","0.42","11.70","7.89"
"2020","Bahia","ECB","2.60","16.10","1.60"
"2020","Vasco","VAS","0.38","3.83","5.77"
"2020","Atletico-MG","CAM","19.33","31.35","-8.60"
"2020","Fluminense","FLU","2.50","55.00","20.90"
"2020","Botafogo","BOT","0","8.28","2.10"
"2020","Ceara","CEA","1.90","14.18","-1.18"
"2020","RBBragantino","RBB","19.90","54.45","-19.90"
"2020","Sport","SPO","0","7.93","0.70"
"2020","Coritiba","CFC","0","9.60","0.60"
"2020","Atletico-GO","ACG","0","25.90","0.26"
"2021","America-MG","AMG","0","4.25","0.95"
"2021","Athletico-PR","CAP","5.90","17.80","2.80"
